Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 1000 0 1200
hcrr_penalized_score knapPI_11_20_1000_4 1000 1 1360
hcrr_penalized_score knapPI_11_20_1000_4 1000 2 1400
hcrr_penalized_score knapPI_11_20_1000_4 1000 3 1440
hcrr_penalized_score knapPI_11_20_1000_4 1000 4 1400
hcrr_penalized_score knapPI_13_20_1000_4 1000 0 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 1 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 2 889
hcrr_penalized_score knapPI_13_20_1000_4 1000 3 907
hcrr_penalized_score knapPI_13_20_1000_4 1000 4 907
hcrr_penalized_score knapPI_16_20_1000_4 1000 0 2886
hcrr_penalized_score knapPI_16_20_1000_4 1000 1 2664
hcrr_penalized_score knapPI_16_20_1000_4 1000 2 2575
hcrr_penalized_score knapPI_16_20_1000_4 1000 3 2557
hcrr_penalized_score knapPI_16_20_1000_4 1000 4 2539
hcrr_penalized_score knapPI_11_200_1000_4 1000 0 -34030
hcrr_penalized_score knapPI_11_200_1000_4 1000 1 -33990
hcrr_penalized_score knapPI_11_200_1000_4 1000 2 -33794
hcrr_penalized_score knapPI_11_200_1000_4 1000 3 -32720
hcrr_penalized_score knapPI_11_200_1000_4 1000 4 -37086
hcrr_penalized_score knapPI_13_200_1000_4 1000 0 -19944
hcrr_penalized_score knapPI_13_200_1000_4 1000 1 -20337
hcrr_penalized_score knapPI_13_200_1000_4 1000 2 -20721
hcrr_penalized_score knapPI_13_200_1000_4 1000 3 -21339
hcrr_penalized_score knapPI_13_200_1000_4 1000 4 -20820
hcrr_penalized_score knapPI_16_200_1000_4 1000 0 -29623
hcrr_penalized_score knapPI_16_200_1000_4 1000 1 -31556
hcrr_penalized_score knapPI_16_200_1000_4 1000 2 -30645
hcrr_penalized_score knapPI_16_200_1000_4 1000 3 -34446
hcrr_penalized_score knapPI_16_200_1000_4 1000 4 -32609
hill_climber_cliff_score knapPI_11_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 4 872
hill_climber_cliff_score knapPI_16_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 0 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 1 0
