Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 1020
hcrr_penalized_score knapPI_11_20_1000_4 50 1 -2498
hcrr_penalized_score knapPI_11_20_1000_4 50 2 -2006
hcrr_penalized_score knapPI_11_20_1000_4 50 3 -2349
hcrr_penalized_score knapPI_11_20_1000_4 50 4 -2700
hcrr_penalized_score knapPI_11_20_1000_4 50 5 -1456
hcrr_penalized_score knapPI_11_20_1000_4 50 6 -1385
hcrr_penalized_score knapPI_11_20_1000_4 50 7 -1656
hcrr_penalized_score knapPI_11_20_1000_4 50 8 -2077
hcrr_penalized_score knapPI_11_20_1000_4 50 9 980
hcrr_penalized_score knapPI_11_20_1000_4 50 10 -1935
hcrr_penalized_score knapPI_11_20_1000_4 50 11 1060
hcrr_penalized_score knapPI_11_20_1000_4 50 12 -1656
hcrr_penalized_score knapPI_11_20_1000_4 50 13 -2214
hcrr_penalized_score knapPI_11_20_1000_4 50 14 -2145
hcrr_penalized_score knapPI_11_20_1000_4 50 15 -1939
hcrr_penalized_score knapPI_11_20_1000_4 50 16 -1940
hcrr_penalized_score knapPI_11_20_1000_4 50 17 -2149
hcrr_penalized_score knapPI_11_20_1000_4 50 18 -2006
hcrr_penalized_score knapPI_11_20_1000_4 50 19 -2841
hcrr_penalized_score knapPI_11_20_1000_4 50 20 -1455
hcrr_penalized_score knapPI_11_20_1000_4 50 21 -2003
hcrr_penalized_score knapPI_11_20_1000_4 50 22 -2071
hcrr_penalized_score knapPI_11_20_1000_4 50 23 600
hcrr_penalized_score knapPI_11_20_1000_4 50 24 -1588
hcrr_penalized_score knapPI_11_20_1000_4 50 25 -1727
hcrr_penalized_score knapPI_11_20_1000_4 50 26 -2216
hcrr_penalized_score knapPI_11_20_1000_4 50 27 -1728
hcrr_penalized_score knapPI_11_20_1000_4 50 28 -1941
hcrr_penalized_score knapPI_11_20_1000_4 50 29 1280
hcrr_penalized_score knapPI_13_20_1000_4 50 0 -1383
hcrr_penalized_score knapPI_13_20_1000_4 50 1 -1995
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -1914
hcrr_penalized_score knapPI_13_20_1000_4 50 3 -2232
hcrr_penalized_score knapPI_13_20_1000_4 50 4 -969
hcrr_penalized_score knapPI_13_20_1000_4 50 5 -1329
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -1107
hcrr_penalized_score knapPI_13_20_1000_4 50 7 -930
hcrr_penalized_score knapPI_13_20_1000_4 50 8 -1770
hcrr_penalized_score knapPI_13_20_1000_4 50 9 -1710
hcrr_penalized_score knapPI_13_20_1000_4 50 10 -1557
hcrr_penalized_score knapPI_13_20_1000_4 50 11 -1935
hcrr_penalized_score knapPI_13_20_1000_4 50 12 -1185
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -1929
hcrr_penalized_score knapPI_13_20_1000_4 50 14 -900
hcrr_penalized_score knapPI_13_20_1000_4 50 15 -1731
hcrr_penalized_score knapPI_13_20_1000_4 50 16 -2379
hcrr_penalized_score knapPI_13_20_1000_4 50 17 -834
hcrr_penalized_score knapPI_13_20_1000_4 50 18 -1560
hcrr_penalized_score knapPI_13_20_1000_4 50 19 -819
hcrr_penalized_score knapPI_13_20_1000_4 50 20 -1254
hcrr_penalized_score knapPI_13_20_1000_4 50 21 -2088
hcrr_penalized_score knapPI_13_20_1000_4 50 22 -1449
hcrr_penalized_score knapPI_13_20_1000_4 50 23 -1725
hcrr_penalized_score knapPI_13_20_1000_4 50 24 -1296
hcrr_penalized_score knapPI_13_20_1000_4 50 25 800
hcrr_penalized_score knapPI_13_20_1000_4 50 26 -1686
hcrr_penalized_score knapPI_13_20_1000_4 50 27 -1692
hcrr_penalized_score knapPI_13_20_1000_4 50 28 -1143
hcrr_penalized_score knapPI_13_20_1000_4 50 29 -876
hcrr_penalized_score knapPI_16_20_1000_4 50 0 2134
hcrr_penalized_score knapPI_16_20_1000_4 50 1 -1020
hcrr_penalized_score knapPI_16_20_1000_4 50 2 -2021
hcrr_penalized_score knapPI_16_20_1000_4 50 3 -1880
