Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 -1388
hcrr_penalized_score knapPI_11_20_1000_4 50 1 1000
hcrr_penalized_score knapPI_11_20_1000_4 50 2 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 3 -1390
hcrr_penalized_score knapPI_11_20_1000_4 50 4 1280
hcrr_penalized_score knapPI_11_20_1000_4 50 5 1200
hcrr_penalized_score knapPI_11_20_1000_4 50 6 1320
hcrr_penalized_score knapPI_11_20_1000_4 50 7 980
hcrr_penalized_score knapPI_11_20_1000_4 50 8 1280
hcrr_penalized_score knapPI_11_20_1000_4 50 9 -2360
hcrr_penalized_score knapPI_11_20_1000_4 50 10 1000
hcrr_penalized_score knapPI_11_20_1000_4 50 11 1120
hcrr_penalized_score knapPI_11_20_1000_4 50 12 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 13 1020
hcrr_penalized_score knapPI_11_20_1000_4 50 14 -2358
hcrr_penalized_score knapPI_13_20_1000_4 50 0 560
hcrr_penalized_score knapPI_13_20_1000_4 50 1 809
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -1029
hcrr_penalized_score knapPI_13_20_1000_4 50 3 907
hcrr_penalized_score knapPI_13_20_1000_4 50 4 801
hcrr_penalized_score knapPI_13_20_1000_4 50 5 809
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -900
hcrr_penalized_score knapPI_13_20_1000_4 50 7 240
hcrr_penalized_score knapPI_13_20_1000_4 50 8 -1116
hcrr_penalized_score knapPI_13_20_1000_4 50 9 -1227
hcrr_penalized_score knapPI_13_20_1000_4 50 10 836
hcrr_penalized_score knapPI_13_20_1000_4 50 11 -1389
hcrr_penalized_score knapPI_13_20_1000_4 50 12 854
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -870
hcrr_penalized_score knapPI_13_20_1000_4 50 14 836
hcrr_penalized_score knapPI_16_20_1000_4 50 0 1826
hcrr_penalized_score knapPI_16_20_1000_4 50 1 -2224
hcrr_penalized_score knapPI_16_20_1000_4 50 2 2264
hcrr_penalized_score knapPI_16_20_1000_4 50 3 1471
hcrr_penalized_score knapPI_16_20_1000_4 50 4 2029
hcrr_penalized_score knapPI_16_20_1000_4 50 5 1889
hcrr_penalized_score knapPI_16_20_1000_4 50 6 1689
hcrr_penalized_score knapPI_16_20_1000_4 50 7 2424
hcrr_penalized_score knapPI_16_20_1000_4 50 8 2455
hcrr_penalized_score knapPI_16_20_1000_4 50 9 1667
hcrr_penalized_score knapPI_16_20_1000_4 50 10 2296
hcrr_penalized_score knapPI_16_20_1000_4 50 11 2388
hcrr_penalized_score knapPI_16_20_1000_4 50 12 2290
hcrr_penalized_score knapPI_16_20_1000_4 50 13 2029
hcrr_penalized_score knapPI_16_20_1000_4 50 14 -1059
hcrr_penalized_score knapPI_11_200_1000_4 50 0 -50953
hcrr_penalized_score knapPI_11_200_1000_4 50 1 -49431
hcrr_penalized_score knapPI_11_200_1000_4 50 2 -41514
hcrr_penalized_score knapPI_11_200_1000_4 50 3 -41177
hcrr_penalized_score knapPI_11_200_1000_4 50 4 -45482
hcrr_penalized_score knapPI_11_200_1000_4 50 5 -49359
hcrr_penalized_score knapPI_11_200_1000_4 50 6 -50468
hcrr_penalized_score knapPI_11_200_1000_4 50 7 -37272
hcrr_penalized_score knapPI_11_200_1000_4 50 8 -53636
hcrr_penalized_score knapPI_11_200_1000_4 50 9 -41839
hcrr_penalized_score knapPI_11_200_1000_4 50 10 -51514
hcrr_penalized_score knapPI_11_200_1000_4 50 11 -45116
hcrr_penalized_score knapPI_11_200_1000_4 50 12 -52799
hcrr_penalized_score knapPI_11_200_1000_4 50 13 -44433
hcrr_penalized_score knapPI_11_200_1000_4 50 14 -46241
hcrr_penalized_score knapPI_13_200_1000_4 50 0 -27030
hcrr_penalized_score knapPI_13_200_1000_4 50 1 -30207
hcrr_penalized_score knapPI_13_200_1000_4 50 2 -28293
hcrr_penalized_score knapPI_13_200_1000_4 50 3 -25515
hcrr_penalized_score knapPI_13_200_1000_4 50 4 -30831
hcrr_penalized_score knapPI_13_200_1000_4 50 5 -25443
hcrr_penalized_score knapPI_13_200_1000_4 50 6 -32850
hcrr_penalized_score knapPI_13_200_1000_4 50 7 -28134
hcrr_penalized_score knapPI_13_200_1000_4 50 8 -32664
hcrr_penalized_score knapPI_13_200_1000_4 50 9 -23871
hcrr_penalized_score knapPI_13_200_1000_4 50 10 -30321
hcrr_penalized_score knapPI_13_200_1000_4 50 11 -31422
hcrr_penalized_score knapPI_13_200_1000_4 50 12 -30183
hcrr_penalized_score knapPI_13_200_1000_4 50 13 -31764
hcrr_penalized_score knapPI_13_200_1000_4 50 14 -28806
hcrr_penalized_score knapPI_16_200_1000_4 50 0 -46372
hcrr_penalized_score knapPI_16_200_1000_4 50 1 -46763
hcrr_penalized_score knapPI_16_200_1000_4 50 2 -34183
hcrr_penalized_score knapPI_16_200_1000_4 50 3 -46663
hcrr_penalized_score knapPI_16_200_1000_4 50 4 -47330
hcrr_penalized_score knapPI_16_200_1000_4 50 5 -46303
hcrr_penalized_score knapPI_16_200_1000_4 50 6 -45988
hcrr_penalized_score knapPI_16_200_1000_4 50 7 -48428
hcrr_penalized_score knapPI_16_200_1000_4 50 8 -42877
hcrr_penalized_score knapPI_16_200_1000_4 50 9 -46246
hcrr_penalized_score knapPI_16_200_1000_4 50 10 -46065
hcrr_penalized_score knapPI_16_200_1000_4 50 11 -49787
hcrr_penalized_score knapPI_16_200_1000_4 50 12 -45326
hcrr_penalized_score knapPI_16_200_1000_4 50 13 -47602
hcrr_penalized_score knapPI_16_200_1000_4 50 14 -39834
hill_climber_cliff_score knapPI_11_20_1000_4 50 0 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 1 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 2 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 3 1280
hill_climber_cliff_score knapPI_11_20_1000_4 50 4 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 5 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 6 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 7 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 8 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 9 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 10 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 11 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 12 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 13 0
hill_climber_cliff_score knapPI_11_20_1000_4 50 14 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 0 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 1 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 2 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 3 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 4 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 5 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 6 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 7 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 8 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 9 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 10 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 11 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 12 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 13 0
hill_climber_cliff_score knapPI_13_20_1000_4 50 14 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 0 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 1 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 2 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 3 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 4 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 5 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 6 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 7 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 8 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 9 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 10 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 11 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 12 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 13 0
hill_climber_cliff_score knapPI_16_20_1000_4 50 14 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 0 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 1 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 2 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 3 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 4 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 5 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 6 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 7 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 8 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 9 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 10 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 11 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 12 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 13 0
hill_climber_cliff_score knapPI_11_200_1000_4 50 14 0
