Search_method Problem Max_evals Run Score
hcrr_penalized_score knapPI_11_20_1000_4 50 0 1120
hcrr_penalized_score knapPI_11_20_1000_4 50 1 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 2 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 3 -1320
hcrr_penalized_score knapPI_11_20_1000_4 50 4 1280
hcrr_penalized_score knapPI_11_20_1000_4 50 5 1400
hcrr_penalized_score knapPI_11_20_1000_4 50 6 1160
hcrr_penalized_score knapPI_11_20_1000_4 50 7 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 8 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 9 1440
hcrr_penalized_score knapPI_11_20_1000_4 50 10 -1727
hcrr_penalized_score knapPI_11_20_1000_4 50 11 900
hcrr_penalized_score knapPI_11_20_1000_4 50 12 -1866
hcrr_penalized_score knapPI_11_20_1000_4 50 13 1060
hcrr_penalized_score knapPI_11_20_1000_4 50 14 1000
hcrr_penalized_score knapPI_11_20_1000_4 50 15 1300
hcrr_penalized_score knapPI_11_20_1000_4 50 16 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 17 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 18 1440
hcrr_penalized_score knapPI_11_20_1000_4 50 19 920
hcrr_penalized_score knapPI_11_20_1000_4 50 20 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 21 1100
hcrr_penalized_score knapPI_11_20_1000_4 50 22 -2008
hcrr_penalized_score knapPI_11_20_1000_4 50 23 1140
hcrr_penalized_score knapPI_11_20_1000_4 50 24 780
hcrr_penalized_score knapPI_11_20_1000_4 50 25 1080
hcrr_penalized_score knapPI_11_20_1000_4 50 26 1320
hcrr_penalized_score knapPI_11_20_1000_4 50 27 1100
hcrr_penalized_score knapPI_11_20_1000_4 50 28 900
hcrr_penalized_score knapPI_11_20_1000_4 50 29 1240
hcrr_penalized_score knapPI_13_20_1000_4 50 0 -1302
hcrr_penalized_score knapPI_13_20_1000_4 50 1 854
hcrr_penalized_score knapPI_13_20_1000_4 50 2 -1743
hcrr_penalized_score knapPI_13_20_1000_4 50 3 845
hcrr_penalized_score knapPI_13_20_1000_4 50 4 -963
hcrr_penalized_score knapPI_13_20_1000_4 50 5 -1446
hcrr_penalized_score knapPI_13_20_1000_4 50 6 -1242
hcrr_penalized_score knapPI_13_20_1000_4 50 7 -2010
hcrr_penalized_score knapPI_13_20_1000_4 50 8 676
hcrr_penalized_score knapPI_13_20_1000_4 50 9 800
hcrr_penalized_score knapPI_13_20_1000_4 50 10 -816
hcrr_penalized_score knapPI_13_20_1000_4 50 11 907
hcrr_penalized_score knapPI_13_20_1000_4 50 12 -1416
hcrr_penalized_score knapPI_13_20_1000_4 50 13 -1095
hcrr_penalized_score knapPI_13_20_1000_4 50 14 -1296
hcrr_penalized_score knapPI_13_20_1000_4 50 15 774
hcrr_penalized_score knapPI_13_20_1000_4 50 16 720
hcrr_penalized_score knapPI_13_20_1000_4 50 17 907
hcrr_penalized_score knapPI_13_20_1000_4 50 18 845
hcrr_penalized_score knapPI_13_20_1000_4 50 19 -1056
hcrr_penalized_score knapPI_13_20_1000_4 50 20 720
hcrr_penalized_score knapPI_13_20_1000_4 50 21 720
hcrr_penalized_score knapPI_13_20_1000_4 50 22 -732
hcrr_penalized_score knapPI_13_20_1000_4 50 23 -2130
hcrr_penalized_score knapPI_13_20_1000_4 50 24 836
hcrr_penalized_score knapPI_13_20_1000_4 50 25 -1089
hcrr_penalized_score knapPI_13_20_1000_4 50 26 809
hcrr_penalized_score knapPI_13_20_1000_4 50 27 -1566
hcrr_penalized_score knapPI_13_20_1000_4 50 28 890
hcrr_penalized_score knapPI_13_20_1000_4 50 29 845
hcrr_penalized_score knapPI_16_20_1000_4 50 0 2435
hcrr_penalized_score knapPI_16_20_1000_4 50 1 1064
hcrr_penalized_score knapPI_16_20_1000_4 50 2 -1474
hcrr_penalized_score knapPI_16_20_1000_4 50 3 2377
hcrr_penalized_score knapPI_16_20_1000_4 50 4 2426
hcrr_penalized_score knapPI_16_20_1000_4 50 5 -1079
hcrr_penalized_score knapPI_16_20_1000_4 50 6 -1042
hcrr_penalized_score knapPI_16_20_1000_4 50 7 -1714
hcrr_penalized_score knapPI_16_20_1000_4 50 8 -1186
hcrr_penalized_score knapPI_16_20_1000_4 50 9 -1841
hcrr_penalized_score knapPI_16_20_1000_4 50 10 2041
hcrr_penalized_score knapPI_16_20_1000_4 50 11 1969
hcrr_penalized_score knapPI_16_20_1000_4 50 12 -2151
hcrr_penalized_score knapPI_16_20_1000_4 50 13 1639
hcrr_penalized_score knapPI_16_20_1000_4 50 14 -1303
hcrr_penalized_score knapPI_16_20_1000_4 50 15 1961
hcrr_penalized_score knapPI_16_20_1000_4 50 16 1968
hcrr_penalized_score knapPI_16_20_1000_4 50 17 2296
hcrr_penalized_score knapPI_16_20_1000_4 50 18 -1481
hcrr_penalized_score knapPI_16_20_1000_4 50 19 -1754
hcrr_penalized_score knapPI_16_20_1000_4 50 20 -1196
hcrr_penalized_score knapPI_16_20_1000_4 50 21 2040
hcrr_penalized_score knapPI_16_20_1000_4 50 22 1527
hcrr_penalized_score knapPI_16_20_1000_4 50 23 -2238
hcrr_penalized_score knapPI_16_20_1000_4 50 24 -1681
hcrr_penalized_score knapPI_16_20_1000_4 50 25 2105
hcrr_penalized_score knapPI_16_20_1000_4 50 26 2029
hcrr_penalized_score knapPI_16_20_1000_4 50 27 2135
hcrr_penalized_score knapPI_16_20_1000_4 50 28 1696
hcrr_penalized_score knapPI_16_20_1000_4 50 29 -1381
hcrr_penalized_score knapPI_11_200_1000_4 50 0 -47757
hcrr_penalized_score knapPI_11_200_1000_4 50 1 -55682
hcrr_penalized_score knapPI_11_200_1000_4 50 2 -52153
hcrr_penalized_score knapPI_11_200_1000_4 50 3 -55176
hcrr_penalized_score knapPI_11_200_1000_4 50 4 -48028
hcrr_penalized_score knapPI_11_200_1000_4 50 5 -50266
hcrr_penalized_score knapPI_11_200_1000_4 50 6 -53702
hcrr_penalized_score knapPI_11_200_1000_4 50 7 -47492
hcrr_penalized_score knapPI_11_200_1000_4 50 8 -45207
hcrr_penalized_score knapPI_11_200_1000_4 50 9 -44783
hcrr_penalized_score knapPI_11_200_1000_4 50 10 -56735
hcrr_penalized_score knapPI_11_200_1000_4 50 11 -57294
hcrr_penalized_score knapPI_11_200_1000_4 50 12 -46286
hcrr_penalized_score knapPI_11_200_1000_4 50 13 -43613
hcrr_penalized_score knapPI_11_200_1000_4 50 14 -53355
hcrr_penalized_score knapPI_11_200_1000_4 50 15 -49548
hcrr_penalized_score knapPI_11_200_1000_4 50 16 -53999
hcrr_penalized_score knapPI_11_200_1000_4 50 17 -46988
