Search_method Problem Max_evals Num_restarts Run Score
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 0 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 1 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 2 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 3 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 4 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 5 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 6 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 7 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 8 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 9 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 10 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 11 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 12 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 13 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 14 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 15 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 16 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 17 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 18 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 19 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 20 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 21 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 22 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 23 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 24 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 25 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 26 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 27 1360
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 28 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 15 29 1400
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 0 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 1 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 2 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 3 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 4 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 5 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 6 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 7 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 8 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 9 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 10 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 11 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 12 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 13 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 14 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 15 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 16 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 17 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 18 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 19 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 20 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 21 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 22 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 23 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 24 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 25 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 26 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 27 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 28 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 15 29 907
hcrr_penalized_score knapPI_16_20_1000_4 10000 15 0 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 15 1 2886
hcrr_penalized_score knapPI_16_20_1000_4 10000 15 2 2893
